Pref,Pref.name,Age,DiagnoseYear,Sex,Population,CaseCount.TB,CaseCount.STBBI
5101,Chengdu,"[0,12)",2005,0,628006,33,54
5101,Chengdu,"[0,12)",2005,1,658223,54,47
5101,Chengdu,"[0,12)",2006,0,621263,23,60
5101,Chengdu,"[0,12)",2006,1,653274,38,64
5101,Chengdu,"[0,12)",2007,0,605208,24,80
5101,Chengdu,"[0,12)",2007,1,640736,25,68
5101,Chengdu,"[0,12)",2008,0,599814,18,62
5101,Chengdu,"[0,12)",2008,1,637675,26,75
5101,Chengdu,"[0,12)",2009,0,594524,12,97
5101,Chengdu,"[0,12)",2009,1,634875,16,99
5101,Chengdu,"[0,12)",2010,0,586703,7,88
5101,Chengdu,"[0,12)",2010,1,628266,9,114
5101,Chengdu,"[0,12)",2011,0,571711,10,67
5101,Chengdu,"[0,12)",2011,1,615472,13,123
5101,Chengdu,"[0,12)",2012,0,566047,4,33
5101,Chengdu,"[0,12)",2012,1,608677,9,59
5101,Chengdu,"[0,12)",2013,0,565440,7,52
5101,Chengdu,"[0,12)",2013,1,607034,9,48
5101,Chengdu,"[0,12)",2014,0,563068,4,24
5101,Chengdu,"[0,12)",2014,1,603728,8,24
5101,Chengdu,"[0,12)",2015,0,559178,6,26
5101,Chengdu,"[0,12)",2015,1,599022,8,14
5101,Chengdu,"[0,12)",2016,0,554646,5,16
5101,Chengdu,"[0,12)",2016,1,593793,4,20
5101,Chengdu,"[0,12)",2017,0,549636,5,23
5101,Chengdu,"[0,12)",2017,1,588196,16,19
5101,Chengdu,"[0,12)",2018,0,543670,4,24
5101,Chengdu,"[0,12)",2018,1,581697,5,18
5101,Chengdu,"[12,15)",2005,0,192302,25,0
5101,Chengdu,"[12,15)",2005,1,203425,25,0
5101,Chengdu,"[12,15)",2006,0,188719,13,0
5101,Chengdu,"[12,15)",2006,1,198870,17,1
5101,Chengdu,"[12,15)",2007,0,202810,14,3
5101,Chengdu,"[12,15)",2007,1,210432,13,2
5101,Chengdu,"[12,15)",2008,0,198108,11,0
5101,Chengdu,"[12,15)",2008,1,205885,15,2
5101,Chengdu,"[12,15)",2009,0,200492,13,0
5101,Chengdu,"[12,15)",2009,1,206803,15,2
5101,Chengdu,"[12,15)",2010,0,191856,9,3
5101,Chengdu,"[12,15)",2010,1,199310,11,2
5101,Chengdu,"[12,15)",2011,0,196779,7,7
5101,Chengdu,"[12,15)",2011,1,203082,3,1
5101,Chengdu,"[12,15)",2012,0,189577,14,3
5101,Chengdu,"[12,15)",2012,1,198373,7,1
