Age,DiagnoseYear,Sex,Population
"[0,12)",2005,1,5837451
"[12,15)",2005,1,2002199
"[15,18)",2005,1,2239396
"[18,21)",2005,1,2135943
"[21,24)",2005,1,1356330
"[24,27)",2005,1,1202939
"[27,30)",2005,1,1518220
"[30,33)",2005,1,2427473
"[33,36)",2005,1,2704450
"[36,39)",2005,1,2533280
"[39,42)",2005,1,2469116
"[42,45)",2005,1,1608784
"[45,48)",2005,1,1121279
"[48,51)",2005,1,1783408
"[51,54)",2005,1,1882441
"[54,57)",2005,1,1536310
"[57,60)",2005,1,1302786
"[60,63)",2005,1,1152223
"[63,66)",2005,1,1032286
"[66,69)",2005,1,861510
"[69,72)",2005,1,693121
"[72,75)",2005,1,604038
"[75,78)",2005,1,469979
"[78,Inf)",2005,1,692251
"[0,12)",2005,0,5292525
"[12,15)",2005,0,1819006
"[15,18)",2005,0,2034214
"[18,21)",2005,0,1958594
"[21,24)",2005,0,1220192
"[24,27)",2005,0,1182877
"[27,30)",2005,0,1538335
"[30,33)",2005,0,2381359
"[33,36)",2005,0,2608112
"[36,39)",2005,0,2467069
"[39,42)",2005,0,2375644
"[42,45)",2005,0,1540939
"[45,48)",2005,0,1006938
"[48,51)",2005,0,1655556
"[51,54)",2005,0,1842956
"[54,57)",2005,0,1455477
"[57,60)",2005,0,1186125
"[60,63)",2005,0,1079544
"[63,66)",2005,0,942387
"[66,69)",2005,0,800490
"[69,72)",2005,0,688159
"[72,75)",2005,0,598356
"[75,78)",2005,0,497343
"[78,Inf)",2005,0,947313
"[0,12)",2006,1,5515608
"[12,15)",2006,1,1921470
"[15,18)",2006,1,2225067
"[18,21)",2006,1,2279203
"[21,24)",2006,1,1365970
"[24,27)",2006,1,1303323
"[27,30)",2006,1,1284786
"[30,33)",2006,1,2202841
"[33,36)",2006,1,2617576
"[36,39)",2006,1,2735117
"[39,42)",2006,1,2371167
"[42,45)",2006,1,2168063
"[45,48)",2006,1,793987
"[48,51)",2006,1,1633273
"[51,54)",2006,1,1892033
"[54,57)",2006,1,1599505
"[57,60)",2006,1,1436830
"[60,63)",2006,1,1177686
"[63,66)",2006,1,1046329
"[66,69)",2006,1,902317
"[69,72)",2006,1,749750
"[72,75)",2006,1,589562
"[75,78)",2006,1,471535
"[78,Inf)",2006,1,756019
"[0,12)",2006,0,4993405
"[12,15)",2006,0,1762757
"[15,18)",2006,0,2006826
"[18,21)",2006,0,2094646
"[21,24)",2006,0,1237391
"[24,27)",2006,0,1224361
"[27,30)",2006,0,1317686
"[30,33)",2006,0,2194344
"[33,36)",2006,0,2534519
"[36,39)",2006,0,2648043
"[39,42)",2006,0,2304738
"[42,45)",2006,0,2075386
"[45,48)",2006,0,752880
"[48,51)",2006,0,1490256
"[51,54)",2006,0,1829579
"[54,57)",2006,0,1563241
"[57,60)",2006,0,1309721
"[60,63)",2006,0,1102698
"[63,66)",2006,0,974884
