"Pref","age","sex","pop","total"
"5101",0,"Female",45485,5401606
"5103",0,"Female",10888,1479553
"5104",0,"Female",7065,520488
"5105",0,"Female",21222,1985026
"5106",0,"Female",14656,1834050
"5107",0,"Female",21383,2489191
"5108",0,"Female",14364,1474115
"5109",0,"Female",13854,1691465
"5110",0,"Female",18050,2026477
"5111",0,"Female",14362,1615785
"5113",0,"Female",27238,3214579
"5114",0,"Female",12739,1567578
"5115",0,"Female",23841,2331370
"5116",0,"Female",22298,1988773
"5117",0,"Female",29907,2768522
"5118",0,"Female",7259,733261
"5119",0,"Female",20754,1591187
"5120",0,"Female",18485,2267359
"5132",0,"Female",6126,409519
"5133",0,"Female",6941,441078
"5134",0,"Female",34892,1955694
"5101",1,"Female",42828,5401606
"5103",1,"Female",10915,1479553
"5104",1,"Female",6850,520488
"5105",1,"Female",18647,1985026
"5106",1,"Female",14368,1834050
"5107",1,"Female",20215,2489191
"5108",1,"Female",14136,1474115
"5109",1,"Female",12689,1691465
"5110",1,"Female",15715,2026477
"5111",1,"Female",13535,1615785
"5113",1,"Female",23898,3214579
"5114",1,"Female",12064,1567578
"5115",1,"Female",22645,2331370
"5116",1,"Female",20149,1988773
"5117",1,"Female",25174,2768522
"5118",1,"Female",7086,733261
"5119",1,"Female",18681,1591187
"5120",1,"Female",17869,2267359
"5132",1,"Female",5576,409519
"5133",1,"Female",5114,441078
"5134",1,"Female",28861,1955694
"5101",2,"Female",50070,5401606
"5103",2,"Female",14102,1479553
"5104",2,"Female",7628,520488
"5105",2,"Female",26050,1985026
"5106",2,"Female",18022,1834050
"5107",2,"Female",26074,2489191
"5108",2,"Female",18947,1474115
"5109",2,"Female",18142,1691465
"5110",2,"Female",20838,2026477
"5111",2,"Female",17450,1615785
"5113",2,"Female",35434,3214579
"5114",2,"Female",16733,1567578
"5115",2,"Female",29296,2331370
"5116",2,"Female",29029,1988773
"5117",2,"Female",35421,2768522
"5118",2,"Female",9584,733261
"5119",2,"Female",27237,1591187
"5120",2,"Female",24020,2267359
"5132",2,"Female",6775,409519
"5133",2,"Female",6871,441078
"5134",2,"Female",37891,1955694
"5101",3,"Female",51085,5401606
"5103",3,"Female",14946,1479553
"5104",3,"Female",7662,520488
"5105",3,"Female",26682,1985026
"5106",3,"Female",18623,1834050
"5107",3,"Female",26792,2489191
"5108",3,"Female",19328,1474115
"5109",3,"Female",18821,1691465
"5110",3,"Female",22497,2026477
"5111",3,"Female",18356,1615785
"5113",3,"Female",38686,3214579
"5114",3,"Female",17725,1567578
"5115",3,"Female",30505,2331370
"5116",3,"Female",30485,1988773
"5117",3,"Female",36356,2768522
"5118",3,"Female",10138,733261
"5119",3,"Female",27298,1591187
"5120",3,"Female",25065,2267359
"5132",3,"Female",7223,409519
"5133",3,"Female",7546,441078
"5134",3,"Female",42604,1955694
