Age,1964ChinaMale,1964ChinaFemale,1982ChinaMale,1982ChinaFemale,2000ChinaMale,2000ChinaFemale
0,14509500,13974327,10787028,10022319,7460206,6333593
1,15515387,14732717,9015023,8360755,6332425,5162822
2,8025093,7544061,9460846,8812995,7701684,6309027
3,5961473,5573791,10131309,9494200,7897234,6557101
4,7450438,6855169,9589607,9030279,8257145,6967137
5,7758234,7125623,10005985,9415315,9157597,7775962
6,10699407,9696907,10528882,9903660,8866012,7604128
7,10342156,9374110,11215966,10563463,9590414,8324342
8,9771901,8906221,12373188,11659779,10014222,8737884
9,10711651,9791224,12902275,12167358,10674963,9407063
10,10001128,9211052,12990403,12232110,13811030,12399014
11,9530651,8808110,14071874,13251432,13110848,12026830
12,9257381,8582340,13614655,12872685,12779621,11796570
13,8026136,7356421,14522190,13717351,13619530,12663114
14,8189963,7388463,12638810,11899447,12023710,11166366
15,7099181,6369672,11710874,11040023,10598460,9830866
16,6885212,6159124,13189846,12496663,10468201,9845225
17,6674639,6132437,12507810,11910124,10275677,9789371
18,6070530,5811427,12726845,12404563,11783695,11316732
19,5626787,5286479,13669206,13710390,9752137,9370801
20,5475825,5032393,7693607,7927363,9315481,9078328
21,5200977,4796616,5320423,5370411,9548059,9376763
22,5498218,5092190,7337219,6969977,9519345,9312246
23,5231306,4798844,7396047,6888193,9119685,8811470
24,5076719,4617663,10132818,9326962,10435196,10056601
25,5278678,4672045,9773764,9102417,10766946,10369689
26,5452581,4729056,9247831,8684999,11674361,11200062
27,5386660,4722869,10169169,9493342,12123051,11507384
28,5443913,4805961,9573341,9031527,12734628,12065763
29,5236618,4667027,8982153,8505339,12931772,12228609
30,5369854,4739930,8910451,8440846,14396367,13615977
31,5152650,4584935,7545721,7083137,12817157,12201229
32,4772857,4227840,8007225,7262713,14262160,13456356
33,4755864,4223047,6881142,6267883,11133712,10602870
34,4668573,4210540,6585705,5973414,12751060,12077410
35,4514180,4085782,6509081,5892369,12794614,12004515
36,4560395,4140729,5896179,5388703,12375386,11769462
37,4153654,3719508,5566357,5014339,14366461,13499728
38,4115241,3745427,5436653,4818792,10799386,10123726
39,4247754,3887242,5157408,4541748,5805544,5608473
40,4073212,3783661,5331337,4728874,7608987,7075739
41,3632453,3372465,5341152,4658491,6819876,6239911
42,3612806,3355651,4994743,4389558,8985776,8150205
43,3570690,3341478,5014787,4386517,9889275,9109149
44,3549187,3353612,5145551,4446933,8939273,8424754
45,3232655,3088814,5108174,4493751,9650322,8961850
46,3154761,3014455,5107686,4548128,9524972,8988462
47,3203405,3047834,4887513,4410483,8575888,8169807
48,3094701,3042757,5005341,4454291,8849449,8387172
49,3025159,2948295,4964403,4423561,7338972,7074151
50,3113758,3034128,4532590,4046845,7572176,7139084
51,2694842,2636374,4332903,3805010,7269012,6644915
52,2557780,2507860,4453993,3972365,6256655,5826372
53,2435503,2446581,4074350,3701932,6105349,5632191
54,2490250,2588306,4135150,3760363,5600933,5257513
55,2413645,2576191,3705316,3377770,5184602,4860571
56,2173241,2349037,3588621,3322426,5059575,4649136
57,2089385,2285008,3642023,3407432,4567728,4253812
58,2105149,2378603,3475640,3321543,4602955,4266825
59,1967775,2230213,3082325,2971231,4646646,4278525
60,1902039,2181739,3130575,3031671,4769323,4371818
61,1794586,2064394,2907890,2845881,3921897,3652545
62,1596500,1876626,2854566,2834118,4511488,4100377
63,1536154,1836832,2455851,2510855,4229884,3898391
64,1296451,1586133,2360515,2430282,4241886,4006239
65,1147094,1413502,2327945,2476766,3942771,3865821
66,1132111,1417684,2153933,2321302,3645264,3574802
67,1011676,1282003,1995038,2164931,3802499,3653900
68,940409,1239651,2018582,2228363,3250263,3253048
69,877924,1173062,1676475,1897035,2908551,2883541
70,765713,1069224,1508595,1739913,3221942,3277390
71,698304,984694,1405271,1662082,2469891,2575852
72,597579,877214,1306674,1616734,2608469,2751350
73,498494,751493,1198007,1549281,2217591,2389305
74,442253,693276,1016184,1345304,1918261,2144098
75,388493,627977,891456,1223400,1886692,2170574
76,325301,551605,817130,1176014,1627531,1947880
77,269574,468223,682054,1006067,1354234,1671492
78,221288,403318,598805,914150,1254407,1584329
79,173033,328554,507258,800709,1052947,1378244
80,,,,,958077,1352135
81,,,,,715350,1025520
82,,,,,612890,933189
83,,,,,507775,796853
84,,,,,409776,677593
85,,,,,325809,572474
86,,,,,275077,496960
87,,,,,200168,382991
88,,,,,147017,294228
89,,,,,108870,227104
90,,,,,88128,197747
91,,,,,53460,128229
92,,,,,40460,99632
93,,,,,27802,72435
94,,,,,19908,55793
95,,,,,16617,41480
96,,,,,12543,29520
97,,,,,10068,21100
98,,,,,7599,15695
99,,,,,4546,10588
100,,,,,4635,13242
