BirthYear,Surv.overall
1900,NA
1901,NA
1902,NA
1903,0.008076745668544537
1904,0.010300021205853991
1905,0.01383924870676143
1906,0.016883404791344394
1907,0.02291449350801357
1908,0.030978192848825303
1909,0.03641181794351558
1910,0.05629060701506491
1911,0.06881774258697719
1912,0.08710547926816749
1913,0.10938573863823939
1914,0.12557763758143858
1915,0.15037916086739767
1916,0.17716927757387504
1917,0.20869910748893142
1918,0.25061190919559306
1919,0.27539010315482054
1920,0.33467757064923953
1921,0.3517262601256219
1922,0.4007996421003154
1923,0.43487093691935247
1924,0.45765515715317173
1925,0.5007480771021484
1926,0.5167956463750918
1927,0.5851392363068358
1928,0.6013303197990022
1929,0.6013303197990022
1930,0.6878931227943238
1931,0.6878931227943238
1932,0.7173236538457882
1933,0.7369494298637514
1934,0.7369494298637514
1935,0.7947356473847292
1936,0.80472402028408
1937,0.80472402028408
1938,0.8060077988905072
1939,0.8060077988905072
1940,0.8786625910430613
1941,0.8786625910430613
1942,0.8786625910430613
1943,0.8786625910430613
1944,0.9096335656463498
1945,0.9122263184229953
1946,0.9169841522687816
1947,0.9169841522687816
1948,0.9244341576931058
1949,0.9319539554735866
1950,0.9319539554735866
1951,0.9319539554735866
1952,0.9319539554735866
1953,0.9319539554735866
1954,0.9319539554735866
1955,0.9319539554735866
1956,0.9319539554735866
1957,0.9319539554735866
1958,0.9319539554735866
1959,0.9319539554735866
1960,0.9608584499672541
1961,0.9608584499672541
1962,0.9608584499672541
1963,0.9608584499672541
1964,0.9608584499672541
1965,1
1966,1
1967,1
1968,1
1969,1
1970,1
1971,1
1972,1
1973,1
1974,1
1975,1
1976,1
1977,1
1978,1
1979,1
1980,1
1981,1
1982,1
1983,1
1984,1
1985,1
1986,1
1987,1
1988,1
1989,1
1990,1
1991,1
1992,1
1993,1
1994,1
1995,1
1996,1
1997,1
1998,1
1999,1
2000,1
