"Pref.name","birthyear","pop","excessive"
"Chengdu",1963,297794,62053.4508258434
"Zigong",1963,66267,13808.5254433473
"Panzhihua",1963,22897,4771.21051317131
"Luzhou",1963,93328,19447.4182108246
"Deyang",1963,102784,21417.8320909202
"Mianyang",1963,126808,26423.8835984726
"Guangyuan",1963,68728,14321.3414923019
"Suining",1963,74587,15542.2229351403
"Neijiang",1963,95254,19848.7525100065
"Leshan",1963,82546,17200.6962929746
"Nanchong",1963,134223,27968.9998126127
"Meishan",1963,76088,15854.9969658112
"Yibin",1963,108659,22642.0475673967
"Guang'an",1963,93491,19481.3836785124
"Dazhou",1963,131688,27440.763858082
"Yaan",1963,35919,7484.69714035027
"Bazhong",1963,55553,11575.973168459
"Ziyang",1963,97514,20319.684761383
"Aba",1963,13774,2870.18620816795
"Ganzi",1963,14410,3002.71404528098
"Liangshan",1963,68722,14320.0912296877
